,matchId,playerId,interveningOpponents,interveningTeammates,minute,second,outcome,converted_seconds,distance,angle,angle_degrees,interferenceOnShooter_encoded,bodyPart_head,bodyPart_left foot,bodyPart_other,bodyPart_right foot,playType_free kick,playType_olimpico,playType_open play,playType_penalty
119,m_143,p_38,2,0,77.0,2,blocked shot,1.0,12.603015512170094,-0.47287374891378703,-27.093670055288992,2.0,False,False,False,True,False,False,True,False
120,m_39,p_125,2,0,59.0,13,goal,1.0,18.0200388456851,-0.726504085463472,-41.62561789606861,2.0,False,False,False,True,False,False,True,False
121,m_114,p_142,2,0,54.0,28,saved by keeper,1.0,6.8562380355410655,-0.3328202129267492,-19.06919353734813,2.0,False,False,True,False,False,False,True,False
122,m_4,p_2,3,1,83.0,0,saved by keeper,0.0,17.42302212591145,0.23105780272897056,13.238636919936368,2.0,False,False,False,True,False,False,True,False
123,m_44,p_29,2,0,64.0,53,missed chance,1.0,18.73858319083916,1.1011822014842285,63.09309261997095,2.0,False,True,False,False,False,False,True,False
124,m_141,p_1,1,0,82.0,24,goal,1.0,10.97,0.0,0.0,1.0,False,False,False,True,False,False,False,True
125,m_161,p_100,2,0,46.0,49,missed chance,1.0,13.408430184029747,0.16784607155919726,9.616871508192803,3.0,True,False,False,False,False,False,True,False
126,m_206,p_33,1,0,8.0,48,goal,1.0,10.97,0.0,0.0,1.0,False,False,False,True,False,False,False,True
127,m_195,p_46,2,0,21.0,41,saved by keeper,1.0,17.762370337317034,-0.6656846524065554,-38.140921069528844,1.0,False,True,False,False,False,False,True,False
128,m_22,p_123,4,0,91.0,13,missed chance,1.0,30.12345929670097,-0.25093672467020767,-14.377615248439264,1.0,False,True,False,False,False,False,True,False
129,m_20,p_76,4,1,72.0,15,missed chance,1.0,23.24287417683106,-0.16161212404453698,-9.259692625896701,1.0,False,True,False,False,False,False,True,False
130,m_69,p_159,4,0,41.0,55,blocked shot,1.0,19.258504614844842,0.7214677426248267,41.337056707233295,3.0,False,True,False,False,False,False,True,False
131,m_131,p_67,2,1,6.0,36,blocked shot,1.0,11.981590044731126,1.3614517530835692,78.00543946237558,1.0,True,False,False,False,False,False,True,False
132,m_209,p_126,2,0,92.0,41,missed chance,1.0,12.839816976888729,-0.13672031926385195,-7.833497267499883,2.0,False,False,False,True,False,False,True,False
133,m_160,p_16,2,0,34.0,57,hit the post,1.0,15.369248517738269,-0.7283173809911837,-41.729512076816434,3.0,False,False,False,True,False,False,True,False
134,m_140,p_29,7,2,39.0,6,goal,1.0,24.38619691546839,-0.6475197864132419,-37.10015091269127,1.0,False,True,False,False,True,False,False,False
135,m_122,p_32,1,0,18.0,50,missed chance,1.0,9.35109084545755,-0.16110509889039673,-9.230642224457494,2.0,False,False,False,True,False,False,True,False
136,m_201,p_134,3,0,6.0,6,blocked shot,1.0,24.920597906149844,0.24274022404313528,13.907990355731684,1.0,False,False,False,True,False,False,True,False
137,m_206,p_60,1,0,54.0,14,missed chance,1.0,13.760297961890215,-0.7853981633974483,-45.0,2.0,False,False,False,True,False,False,True,False
138,m_112,p_67,1,0,72.0,41,missed chance,1.0,2.6004999519323206,0.2925617664038475,16.762554461832742,2.0,True,False,False,False,False,False,True,False
139,m_94,p_139,3,2,66.0,20,missed chance,1.0,26.31513822878383,0.25861962728407384,14.817813142623823,1.0,False,False,False,True,False,False,True,False
140,m_236,p_135,3,0,13.0,7,blocked shot,1.0,22.75528290309747,-0.4540174035716965,-26.013281050146038,2.0,False,False,False,True,False,False,True,False
141,m_195,p_44,3,0,49.0,34,missed chance,1.0,13.609132962830513,-1.1150355079308856,-63.88682861166578,2.0,False,True,False,False,False,False,True,False
142,m_9,p_5,2,0,24.0,13,saved by keeper,1.0,21.350936747599626,-0.9179278105038341,-52.59338943955409,2.0,False,False,False,True,False,False,True,False
143,m_156,p_85,2,0,48.0,50,saved by keeper,1.0,17.723622654525233,0.6854913211529504,39.27575959491095,2.0,False,False,False,True,False,False,True,False
144,m_68,p_130,4,0,91.0,9,missed chance,1.0,22.647757063338524,-0.49307411832209114,-28.251065966989998,1.0,False,True,False,False,False,False,True,False
145,m_231,p_74,1,0,8.0,31,blocked shot,1.0,7.287503001714648,-0.9069850822123401,-51.966417292093084,1.0,False,False,False,True,False,False,True,False
146,m_165,p_114,3,0,64.0,0,hit the post,0.0,25.250378214989176,0.6097526339587928,34.93625247282418,2.0,False,False,False,True,False,False,True,False
147,m_156,p_90,1,0,11.0,22,saved by keeper,1.0,14.688730373997611,0.7015373346075486,40.195128443869564,1.0,False,True,False,False,False,False,True,False
148,m_133,p_93,2,0,42.0,33,saved by keeper,1.0,7.020890256940355,-0.28886471297076843,-16.55072890348296,3.0,False,False,False,True,False,False,True,False
149,m_173,p_5,3,0,4.0,35,saved by keeper,1.0,11.285424227737298,0.7853981633974483,45.0,2.0,False,True,False,False,False,False,True,False
150,m_233,p_82,3,0,64.0,12,missed chance,1.0,11.722666079011208,0.021327823593188504,1.2219942780892437,1.0,True,False,False,False,False,False,True,False
151,m_121,p_101,1,0,64.0,9,missed chance,1.0,23.104382701124045,0.6629791646098119,37.98590803725129,2.0,False,True,False,False,False,False,True,False
152,m_235,p_40,2,0,15.0,4,blocked shot,1.0,12.382584544431749,-1.4085685120244653,-80.7050308940242,3.0,False,False,False,True,False,False,True,False
