channel_id,channel_link,channel_name,channel_type,country,country_rank,created_date,daily_subs_average,daily_views_average,estimated_monthly_income,people_rank,social_blade_rank,socialblade_url,subscriber_rank,subscribers,subscribers_last_30_days,uploads,video_view_rank,views,views_last_30_days,yearly_income
@ranwafamilyofficial,https://youtube.com/@ranwafamilyofficial,Ranwa Family,people,IN,181st,"Dec 8th, 2022",20000.0,11852416.0,690450.0,129th,376th,https://socialblade.com/youtube/channel/UCj-Y3qyis1oyXDtWGYHJU1Q,352nd,10600000.0,600K,1013.0,"1,178th",6829315196.0,355572000.0,8235350.0
@nastenkakosh,https://youtube.com/@nastenkakosh,Anastasia Kosh,people,RU,48th,"Aug 31st, 2013",4000.0,1982490.0,115000.0,259th,"4,824th",https://socialblade.com/youtube/channel/UCO_j_ZAZzcoS5vDleoNbROQ,608th,7530000.0,120K,2677.0,"4,201st",2782314853.0,59475000.0,1381200.0
@roniback,https://youtube.com/@roniback,Roni Back,entertainment,FI,56th,"Jul 21st, 2012",34.0,96632.0,5630.0,"1,380th","160,260th",https://socialblade.com/youtube/channel/UCxmMyt4toi1MKD5tUZWBkVg,"1,624th",669000.0,1K,1849.0,"31,571st",536399569.0,2899000.0,67250.0
@victorthompson11,https://youtube.com/@victorthompson11,Victor Thompson Music,music,NG,84th,"Oct 8th, 2018",467.0,183498.0,10650.0,"1,088th","97,418th",https://socialblade.com/youtube/channel/UCgepPM3g7Y1j78bgqTQbYAw,"1,487th",806000.0,14K,308.0,"95,240th",181033147.0,5505000.0,127750.0
@fan_volleyball,https://youtube.com/@fan_volleyball,Volleyball Fan Channel,N/A,DE,"1,025th","Jul 14th, 2020",934.0,1571874.0,91150.0,--,"10,922nd",https://socialblade.com/youtube/channel/UCl4TCMZYQxpcAgbOHKMjUhA,"2,341st",110000.0,28K,159.0,"112,752nd",158997074.0,47156000.0,1114350.0
@bigschoolminecraft,https://youtube.com/@bigschoolminecraft,BigSchool,film,US,87th,"Aug 13th, 2019",26600.0,12051899.0,691150.0,22nd,394th,https://socialblade.com/youtube/channel/UC-Diq5SjWZDol8C0_E_1Y7A,209th,24900000.0,800K,3444.0,533rd,11033845179.0,361557000.0,8393550.0
@dougsharpe,https://youtube.com/@dougsharpe,Doug Sharpe,education,CA,595th,"Sep 20th, 2016",700.0,1530205.0,88750.0,"1,003rd","10,711th",https://socialblade.com/youtube/channel/UCAYmlecATSG0wc5IxsFJSbQ,"1,671st",632000.0,21K,562.0,"21,559th",769279078.0,45906000.0,1062650.0
@krubivevo1756,https://youtube.com/@krubivevo1756,KrubiVEVO,music,AF,154th,"Mar 14th, 2018",,7948.0,461.0,"2,597th","650,751st",https://socialblade.com/youtube/channel/UCPK190rZ0ecVhW3OjokfwBg,"4,322nd",29900.0,--,27.0,"310,122nd",46174121.0,238437.0,5525.5
@michou,https://youtube.com/@michou,Michou,entertainment,FR,10th,"Feb 22nd, 2015",2660.0,1014608.0,58850.0,246th,"15,530th",https://socialblade.com/youtube/channel/UCo3i0nUzZjjLuM7VjAVz4zA,393rd,9650000.0,80K,787.0,"4,449th",2673062087.0,30438000.0,691550.0
@tiwasavage,https://youtube.com/@tiwasavage,Tiwa Savage,music,NG,40th,"Sep 8th, 2016",334.0,183263.0,10650.0,850th,"97,510th",https://socialblade.com/youtube/channel/UCcBJoRL_QYkPlJaMhAUahvA,"1,234th",1390000.0,10K,98.0,"32,888th",515711281.0,5498000.0,127550.0
@kinocat3341,https://youtube.com/@kinocat3341,KinoCat,N/A,RU,969th,"Jul 6th, 2022",3060.0,2854820.0,165600.0,--,"4,919th",https://socialblade.com/youtube/channel/UCQFDYpPFuRZaw4adbjk2rjg,"1,852nd",481000.0,92K,357.0,"46,435th",387951881.0,85645000.0,1966900.0
